film,year,award,winner,name,age,
Mississippi Burning,1989,Best Actor,nominee,Gene Hackman,59,55-65
Stand and Deliver,1989,Best Actor,nominee,Edward James Olmos,42,35-45
Big,1989,Best Actor,nominee,Tom Hanks,32,25-35
The Accused,1989,Best Actress,winner,Jodie Foster,26,25-35
Dangerous Liaisons,1989,Best Actress,nominee,Glenn Close,42,35-45
A Cry in the Dark,1989,Best Actress,nominee,Meryl Streep,39,35-45
Gorillas in the Mist,1989,Best Actress,nominee,Sigourney Weaver,39,35-45
Working Girl,1989,Best Actress,nominee,Melanie Griffith,31,25-35
A Fish Called Wanda,1989,Best Supporting Actor,winner,Kevin Kline,41,35-45
Little Dorrit,1989,Best Supporting Actor,nominee,Alec Guinness,75,> 65
Tucker: The Man and His Dream,1989,Best Supporting Actor,nominee,Martin Landau,60,55-65
Married to the Mob,1989,Best Supporting Actor,nominee,Dean Stockwell,53,45-55
Running on Empty,1989,Best Supporting Actor,nominee,River Phoenix,18,< 25
The Accidental Tourist,1989,Best Supporting Actress,winner,Geena Davis,33,25-35
Working Girl,1989,Best Supporting Actress,nominee,Sigourney Weaver,39,35-45
Mississippi Burning,1989,Best Supporting Actress,nominee,Frances McDormand,31,25-35
Dangerous Liaisons,1989,Best Supporting Actress,nominee,Michelle Pfeiffer,30,25-35
Working Girl,1989,Best Supporting Actress,nominee,Joan Cusack,26,25-35
My Left Foot,1990,Best Actor,winner,Daniel Day-Lewis,32,25-35
Driving Miss Daisy,1990,Best Actor,nominee,Morgan Freeman,52,45-55
Dead Poets Society,1990,Best Actor,nominee,Robin Williams,38,35-45
Henry V,1990,Best Actor,nominee,Kenneth Branagh,29,25-35
Born on the Fourth of July,1990,Best Actor,nominee,Tom Cruise,27,25-35
Driving Miss Daisy,1990,Best Actress,winner,Jessica Tandy,80,> 65
Shirley Valentine,1990,Best Actress,nominee,Pauline Collins,49,45-55
Music Box,1990,Best Actress,nominee,Jessica Lange,40,35-45
Camille Claudel,1990,Best Actress,nominee,Isabelle Adjani,34,25-35
The Fabulous Baker Boys,1990,Best Actress,nominee,Michelle Pfeiffer,31,25-35
Glory,1990,Best Supporting Actor,winner,Denzel Washington,35,35-45
A Dry White Season,1990,Best Supporting Actor,nominee,Marlon Brando,66,> 65
Crimes and Misdemeanors,1990,Best Supporting Actor,nominee,Martin Landau,61,55-65
Do the Right Thing,1990,Best Supporting Actor,nominee,Danny Aiello,56,55-65
Driving Miss Daisy,1990,Best Supporting Actor,nominee,Dan Aykroyd,37,35-45
My Left Foot,1990,Best Supporting Actress,winner,Brenda Fricker,45,45-55
Parenthood,1990,Best Supporting Actress,nominee,Dianne Wiest,42,35-45
Enemies: A Love Story,1990,Best Supporting Actress,nominee,Anjelica Huston,38,35-45
Enemies: A Love Story,1990,Best Supporting Actress,nominee,Lena Olin,35,35-45
Steel Magnolias,1990,Best Supporting Actress,nominee,Julia Roberts,22,< 25
Reversal of Fortune,1991,Best Actor,winner,Jeremy Irons,42,35-45
The Field,1991,Best Actor,nominee,Richard Harris,60,55-65
Awakenings,1991,Best Actor,nominee,Robert De Niro,47,45-55
Cyrano De Bergerac,1991,Best Actor,nominee,Gerard Depardieu,42,35-45
Dances with Wolves,1991,Best Actor,nominee,Kevin Costner,36,35-45
Misery,1991,Best Actress,winner,Kathy Bates,42,35-45
Mr. & Mrs. Bridge,1991,Best Actress,nominee,Joanne Woodward,61,55-65
Postcards From the Edge,1991,Best Actress,nominee,Meryl Streep,41,35-45
The Grifters,1991,Best Actress,nominee,Anjelica Huston,39,35-45
Pretty Woman,1991,Best Actress,nominee,Julia Roberts,23,< 25
Good Fellas,1991,Best Supporting Actor,winner,Joe Pesci,48,45-55
Dances with Wolves,1991,Best Supporting Actor,nominee,Graham Greene,86,> 65
Dick Tracy,1991,Best Supporting Actor,nominee,Al Pacino,50,45-55
Longtime Companion,1991,Best Supporting Actor,nominee,Bruce Davison,44,35-45
"The Godfather, Part III",1991,Best Supporting Actor,nominee,Andy Garcia,34,25-35
Ghost,1991,Best Supporting Actress,winner,Whoopi Goldberg,35,35-45
Wild at Heart,1991,Best Supporting Actress,nominee,Diane Ladd,55,55-65
Dances with Wolves,1991,Best Supporting Actress,nominee,Mary McDonnell,38,35-45
Good Fellas,1991,Best Supporting Actress,nominee,Lorraine Bracco,36,35-45
The Grifters,1991,Best Supporting Actress,nominee,Annette Bening,32,25-35
The Silence of the Lambs,1992,Best Actor,winner,Anthony Hopkins,54,45-55
Bugsy,1992,Best Actor,nominee,Warren Beatty,55,55-65
The Prince of Tides,1992,Best Actor,nominee,Nick Nolte,51,45-55
Cape Fear,1992,Best Actor,nominee,Robert De Niro,48,45-55
The Fisher King,1992,Best Actor,nominee,Robin Williams,40,35-45
The Silence of the Lambs,1992,Best Actress,winner,Jodie Foster,29,25-35
For the Boys,1992,Best Actress,nominee,Bette Midler,46,45-55
Thelma & Louise,1992,Best Actress,nominee,Susan Sarandon,45,45-55
Thelma & Louise,1992,Best Actress,nominee,Geena Davis,36,35-45
Rambling Rose,1992,Best Actress,nominee,Laura Dern,25,25-35
City Slickers,1992,Best Supporting Actor,winner,Jack Palance,73,> 65
Bugsy,1992,Best Supporting Actor,nominee,Harvey Keitel,52,45-55
Barton Fink,1992,Best Supporting Actor,nominee,Michael Lerner,50,45-55
Bugsy,1992,Best Supporting Actor,nominee,Ben Kingsley,48,45-55
JFK,1992,Best Supporting Actor,nominee,Tommy Lee Jones,45,45-55
The Fisher King,1992,Best Supporting Actress,winner,Mercedes Ruehl,44,35-45
Fried Green Tomatoes,1992,Best Supporting Actress,nominee,Jessica Tandy,82,> 65
Rambling Rose,1992,Best Supporting Actress,nominee,Diane Ladd,56,55-65
The Prince of Tides,1992,Best Supporting Actress,nominee,Kate Nelligan,41,35-45
Cape Fear,1992,Best Supporting Actress,nominee,Juliette Lewis,18,< 25
Scent of a Woman,1993,Best Actor,winner,Al Pacino,52,45-55
Unforgiven,1993,Best Actor,nominee,Clint Eastwood,62,55-65
The Crying Game,1993,Best Actor,nominee,Stephen Rea,46,45-55
Malcolm X,1993,Best Actor,nominee,Denzel Washington,38,35-45
Chaplin,1993,Best Actor,nominee,"Robert Downey, Jr.",28,25-35
Howards End,1993,Best Actress,winner,Emma Thompson,33,25-35
Indochine,1993,Best Actress,nominee,Catherine Deneuve,49,45-55
Lorenzo's Oil,1993,Best Actress,nominee,Susan Sarandon,46,45-55
Passion Fish,1993,Best Actress,nominee,Mary McDonnell,40,35-45
Love Field,1993,Best Actress,nominee,Michelle Pfeiffer,34,25-35
Unforgiven,1993,Best Supporting Actor,winner,Gene Hackman,63,55-65
A Few Good Men,1993,Best Supporting Actor,nominee,Jack Nicholson,55,55-65
Glengarry Glen Ross,1993,Best Supporting Actor,nominee,Al Pacino,52,45-55
Mr. Saturday Night,1993,Best Supporting Actor,nominee,David Paymer,38,35-45
The Crying Game,1993,Best Supporting Actor,nominee,Jaye Davidson,25,25-35
My Cousin Vinny,1993,Best Supporting Actress,winner,Marisa Tomei,28,25-35
Enchanted April,1993,Best Supporting Actress,nominee,Joan Plowright,63,55-65
Howards End,1993,Best Supporting Actress,nominee,Vanessa Redgrave,56,55-65
Husbands and Wives,1993,Best Supporting Actress,nominee,Judy Davis,37,35-45
Damage,1993,Best Supporting Actress,nominee,Miranda Richardson,35,35-45
Philadelphia,1994,Best Actor,winner,Tom Hanks,37,35-45
The Remains of the Day,1994,Best Actor,nominee,Anthony Hopkins,56,55-65
Schindler's List,1994,Best Actor,nominee,Liam Neeson,41,35-45
In the Name of the Father,1994,Best Actor,nominee,Daniel Day-Lewis,36,35-45
What's Love Got to Do with It,1994,Best Actor,nominee,Laurence Fishburne,32,25-35
The Piano,1994,Best Actress,winner,Holly Hunter,36,35-45
Six Degrees of Separation,1994,Best Actress,nominee,Stockard Channing,50,45-55
Shadowlands,1994,Best Actress,nominee,Debra Winger,38,35-45
What's Love Got to Do with It,1994,Best Actress,nominee,Angela Bassett,35,35-45
The Remains of the Day,1994,Best Actress,nominee,Emma Thompson,34,25-35
The Fugitive,1994,Best Supporting Actor,winner,Tommy Lee Jones,47,45-55
In the Name of the Father,1994,Best Supporting Actor,nominee,Pete Postlethwaite,48,45-55
In the Line of Fire,1994,Best Supporting Actor,nominee,John Malkovich,40,35-45
Schindler's List,1994,Best Supporting Actor,nominee,Ralph Fiennes,31,25-35
What's Eating Gilbert Grape,1994,Best Supporting Actor,nominee,Leonardo DiCaprio,19,< 25
The Piano,1994,Best Supporting Actress,winner,Anna Paquin,11,< 25
The Firm,1994,Best Supporting Actress,nominee,Holly Hunter,36,35-45
In the Name of the Father,1994,Best Supporting Actress,nominee,Emma Thompson,34,25-35
Fearless,1994,Best Supporting Actress,nominee,Rosie Perez,29,25-35
The Age of Innocence,1994,Best Supporting Actress,nominee,Winona Ryder,22,< 25
Forrest Gump,1995,Best Actor,winner,Tom Hanks,38,35-45
Nobody's Fool,1995,Best Actor,nominee,Paul Newman,70,> 65
The Madness of King George,1995,Best Actor,nominee,Nigel Hawthorne,66,> 65
The Shawshank Redemption,1995,Best Actor,nominee,Morgan Freeman,57,55-65
Pulp Fiction,1995,Best Actor,nominee,John Travolta,41,35-45
Blue Sky,1995,Best Actress,winner,Jessica Lange,45,45-55
The Client,1995,Best Actress,nominee,Susan Sarandon,48,45-55
Tom & Viv,1995,Best Actress,nominee,Miranda Richardson,37,35-45
Nell,1995,Best Actress,nominee,Jodie Foster,32,25-35
Little Women,1995,Best Actress,nominee,Winona Ryder,23,< 25
Ed Wood,1995,Best Supporting Actor,winner,Martin Landau,66,> 65
Quiz Show,1995,Best Supporting Actor,nominee,Paul Scofield,73,> 65
Bullets Over Broadway,1995,Best Supporting Actor,nominee,Chazz Palminteri,48,45-55
Pulp Fiction,1995,Best Supporting Actor,nominee,Samuel L. Jackson,46,45-55
Forrest Gump,1995,Best Supporting Actor,nominee,Gary Sinise,40,35-45
Bullets Over Broadway,1995,Best Supporting Actress,winner,Dianne Wiest,47,45-55
Tom & Viv,1995,Best Supporting Actress,nominee,Rosemary Harris,67,> 65
The Madness of King George,1995,Best Supporting Actress,nominee,Helen Mirren,49,45-55
Bullets Over Broadway,1995,Best Supporting Actress,nominee,Jennifer Tilly,36,35-45
Pulp Fiction,1995,Best Supporting Actress,nominee,Uma Thurman,24,< 25
Leaving Las Vegas,1996,Best Actor,winner,Nicolas Cage,32,25-35
Nixon,1996,Best Actor,nominee,Anthony Hopkins,58,55-65
Mr. Holland's Opus,1996,Best Actor,nominee,Richard Dreyfuss,48,45-55
The Postman (Il Postino),1996,Best Actor,nominee,Massimo Troisi,43,35-45
Dead Man Walking,1996,Best Actor,nominee,Sean Penn,35,35-45
Dead Man Walking,1996,Best Actress,winner,Susan Sarandon,49,45-55
The Bridges of Madison County,1996,Best Actress,nominee,Meryl Streep,46,45-55
Casino,1996,Best Actress,nominee,Sharon Stone,38,35-45
Sense and Sensibility,1996,Best Actress,nominee,Emma Thompson,36,35-45
Leaving Las Vegas,1996,Best Actress,nominee,Elisabeth Shue,32,25-35
The Usual Suspects,1996,Best Supporting Actor,winner,Kevin Spacey,36,35-45
Babe,1996,Best Supporting Actor,nominee,James Cromwell,56,55-65
Apollo 13,1996,Best Supporting Actor,nominee,Ed Harris,45,45-55
Rob Roy,1996,Best Supporting Actor,nominee,Tim Roth,34,25-35
Twelve Monkeys,1996,Best Supporting Actor,nominee,Brad Pitt,32,25-35
Mighty Aphrodite,1996,Best Supporting Actress,winner,Mira Sorvino,28,25-35
Apollo 13,1996,Best Supporting Actress,nominee,Kathleen Quinlan,41,35-45
Nixon,1996,Best Supporting Actress,nominee,Joan Allen,39,35-45
Georgia,1996,Best Supporting Actress,nominee,Mare Winningham,36,35-45
Sense and Sensibility,1996,Best Supporting Actress,nominee,Kate Winslet,20,< 25
Shine,1997,Best Actor,winner,Geoffrey Rush,45,45-55
Sling Blade,1997,Best Actor,nominee,Billy Bob Thornton,41,35-45
The People vs. Larry Flynt,1997,Best Actor,nominee,Woody Harrelson,35,35-45
Jerry Maguire,1997,Best Actor,nominee,Tom Cruise,34,25-35
The English Patient,1997,Best Actor,nominee,Ralph Fiennes,34,25-35
Fargo,1997,Best Actress,winner,Frances McDormand,39,35-45
Marvin's Room,1997,Best Actress,nominee,Diane Keaton,51,45-55
Secrets & Lies,1997,Best Actress,nominee,Brenda Blethyn,51,45-55
The English Patient,1997,Best Actress,nominee,Kristin Scott Thomas,36,35-45
Breaking the Waves,1997,Best Actress,nominee,Emily Watson,30,25-35
Jerry Maguire,1997,Best Supporting Actor,winner,"Cuba Gooding, Jr.",29,25-35
Shine,1997,Best Supporting Actor,nominee,Armin Mueller-Stahl,66,> 65
Ghosts of Mississippi,1997,Best Supporting Actor,nominee,James Woods,49,45-55
Fargo,1997,Best Supporting Actor,nominee,William H. Macy,47,45-55
Primal Fear,1997,Best Supporting Actor,nominee,Edward Norton,27,25-35
The English Patient,1997,Best Supporting Actress,winner,Juliette Binoche,33,25-35
The Mirror Has Two Faces,1997,Best Supporting Actress,nominee,Lauren Bacall,72,> 65
The Portrait of a Lady,1997,Best Supporting Actress,nominee,Barbara Hershey,49,45-55
The Crucible,1997,Best Supporting Actress,nominee,Joan Allen,40,35-45
Secrets & Lies,1997,Best Supporting Actress,nominee,Marianne Jean-Baptiste,29,25-35
As Good As It Gets,1998,Best Actor,winner,Jack Nicholson,60,55-65
The Apostle,1998,Best Actor,nominee,Robert Duvall,67,> 65
Wag the Dog,1998,Best Actor,nominee,Dustin Hoffman,60,55-65
Ulee's Gold,1998,Best Actor,nominee,Peter Fonda,58,55-65
Good Will Hunting,1998,Best Actor,nominee,Matt Damon,27,25-35
As Good As It Gets,1998,Best Actress,winner,Helen Hunt,34,25-35
Mrs. Brown,1998,Best Actress,nominee,Judi Dench,63,55-65
Afterglow,1998,Best Actress,nominee,Julie Christie,56,55-65
The Wings of the Dove,1998,Best Actress,nominee,Helena Bonham Carter,31,25-35
Titanic,1998,Best Actress,nominee,Kate Winslet,22,< 25
Good Will Hunting,1998,Best Supporting Actor,winner,Robin Williams,46,45-55
Boogie Nights,1998,Best Supporting Actor,nominee,Burt Reynolds,62,55-65
Amistad,1998,Best Supporting Actor,nominee,Anthony Hopkins,60,55-65
Jackie Brown,1998,Best Supporting Actor,nominee,Robert Forster,56,55-65
As Good As It Gets,1998,Best Supporting Actor,nominee,Greg Kinnear,34,25-35
L.A. Confidential,1998,Best Supporting Actress,winner,Kim Basinger,44,35-45
Titanic,1998,Best Supporting Actress,nominee,Gloria Stuart,87,> 65
Boogie Nights,1998,Best Supporting Actress,nominee,Julianne Moore,37,35-45
In & Out,1998,Best Supporting Actress,nominee,Joan Cusack,35,35-45
Good Will Hunting,1998,Best Supporting Actress,nominee,Minnie Driver,28,25-35
Life is Beautiful,1999,Best Actor,winner,Roberto Benigni,46,45-55
Gods and Monsters,1999,Best Actor,nominee,Ian McKellen,59,55-65
Affliction,1999,Best Actor,nominee,Nick Nolte,58,55-65
Saving Private Ryan,1999,Best Actor,nominee,Tom Hanks,42,35-45
American History X,1999,Best Actor,nominee,Edward Norton,29,25-35
Shakespeare in Love,1999,Best Actress,winner,Gwyneth Paltrow,26,25-35
Central Station,1999,Best Actress,nominee,Fernanda Montenegro,69,> 65
One True Thing,1999,Best Actress,nominee,Meryl Streep,49,45-55
Hilary and Jackie,1999,Best Actress,nominee,Emily Watson,32,25-35
Elizabeth,1999,Best Actress,nominee,Cate Blanchett,29,25-35
Affliction,1999,Best Supporting Actor,winner,James Coburn,70,> 65
A Civil Action,1999,Best Supporting Actor,nominee,Robert Duvall,68,> 65
The Truman Show,1999,Best Supporting Actor,nominee,Ed Harris,48,45-55
Shakespeare in Love,1999,Best Supporting Actor,nominee,Geoffrey Rush,47,45-55
A Simple Plan,1999,Best Supporting Actor,nominee,Billy Bob Thornton,43,35-45
Shakespeare in Love,1999,Best Supporting Actress,winner,Judi Dench,64,55-65
Gods and Monsters,1999,Best Supporting Actress,nominee,Lynn Redgrave,56,55-65
Little Voice,1999,Best Supporting Actress,nominee,Brenda Blethyn,53,45-55
Primary Colors,1999,Best Supporting Actress,nominee,Kathy Bates,50,45-55
Hilary and Jackie,1999,Best Supporting Actress,nominee,Rachel Griffiths,30,25-35
American Beauty,2000,Best Actor,winner,Kevin Spacey,40,35-45
The Straight Story,2000,Best Actor,nominee,Richard Farnsworth,79,> 65
The Hurricane,2000,Best Actor,nominee,Denzel Washington,45,45-55
Sweet and Lowdown,2000,Best Actor,nominee,Sean Penn,39,35-45
The Insider,2000,Best Actor,nominee,Russell Crowe,35,35-45
Boys Don't Cry,2000,Best Actress,winner,Hilary Swank,25,25-35
Music of the Heart,2000,Best Actress,nominee,Meryl Streep,50,45-55
American Beauty,2000,Best Actress,nominee,Annette Bening,41,35-45
The End of the Affair,2000,Best Actress,nominee,Julianne Moore,39,35-45
Tumbleweeds,2000,Best Actress,nominee,Janet McTeer,38,35-45
The Cider House Rules,2000,Best Supporting Actor,winner,Michael Caine,67,> 65
The Green Mile,2000,Best Supporting Actor,nominee,Michael Clarke Duncan,42,35-45
Magnolia,2000,Best Supporting Actor,nominee,Tom Cruise,37,35-45
The Talented Mr. Ripley,2000,Best Supporting Actor,nominee,Jude Law,27,25-35
The Sixth Sense,2000,Best Supporting Actor,nominee,Haley Joel Osment,11,< 25
"Girl, Interrupted",2000,Best Supporting Actress,winner,Angelina Jolie,24,< 25
Being John Malkovich,2000,Best Supporting Actress,nominee,Catherine Keener,41,35-45
The Sixth Sense,2000,Best Supporting Actress,nominee,Toni Collette,27,25-35
Boys Don't Cry,2000,Best Supporting Actress,nominee,Chlo Sevigny,25,25-35
Sweet and Lowdown,2000,Best Supporting Actress,nominee,Samantha Morton,22,< 25
Gladiator,2001,Best Actor,winner,Russell Crowe,36,35-45
Pollock,2001,Best Actor,nominee,Ed Harris,50,45-55
Quills,2001,Best Actor,nominee,Geoffrey Rush,49,45-55
Cast Away,2001,Best Actor,nominee,Tom Hanks,44,35-45
Before Night Falls,2001,Best Actor,nominee,Javier Bardem,32,25-35
Erin Brockovich,2001,Best Actress,winner,Julia Roberts,33,25-35
Requiem for a Dream,2001,Best Actress,nominee,Ellen Burstyn,68,> 65
The Contender,2001,Best Actress,nominee,Joan Allen,44,35-45
You Can Count on Me,2001,Best Actress,nominee,Laura Linney,37,35-45
Chocolat,2001,Best Actress,nominee,Juliette Binoche,37,35-45
Traffic,2001,Best Supporting Actor,winner,Benicio Del Toro,34,25-35
Erin Brockovich,2001,Best Supporting Actor,nominee,Albert Finney,64,55-65
The Contender,2001,Best Supporting Actor,nominee,Jeff Bridges,51,45-55
Shadow of the Vampire,2001,Best Supporting Actor,nominee,Willem Dafoe,45,45-55
Gladiator,2001,Best Supporting Actor,nominee,Joaquin Phoenix,26,25-35
Pollock,2001,Best Supporting Actress,winner,Marcia Gay Harden,41,35-45
Chocolat,2001,Best Supporting Actress,nominee,Judi Dench,66,> 65
Billy Elliot,2001,Best Supporting Actress,nominee,Julie Walters,51,45-55
Almost Famous,2001,Best Supporting Actress,nominee,Frances McDormand,43,35-45
Almost Famous,2001,Best Supporting Actress,nominee,Kate Hudson,21,< 25
Training Day,2002,Best Actor,winner,Denzel Washington,47,45-55
In the Bedroom,2002,Best Actor,nominee,Tom Wilkinson,54,45-55
I Am Sam,2002,Best Actor,nominee,Sean Penn,41,35-45
A Beautiful Mind,2002,Best Actor,nominee,Russell Crowe,37,35-45
Ali,2002,Best Actor,nominee,Will Smith,33,25-35
Monster's Ball,2002,Best Actress,winner,Halle Berry,35,35-45
Iris,2002,Best Actress,nominee,Judi Dench,67,> 65
In the Bedroom,2002,Best Actress,nominee,Sissy Spacek,52,45-55
Moulin Rouge,2002,Best Actress,nominee,Nicole Kidman,34,25-35
Bridget Jones's Diary,2002,Best Actress,nominee,Ren_e Zellweger,32,25-35
Iris,2002,Best Supporting Actor,winner,Jim Broadbent,52,45-55
Ali,2002,Best Supporting Actor,nominee,Jon Voight,63,55-65
The Lord of the Rings: The Fellowship of the Ring,2002,Best Supporting Actor,nominee,Ian McKellen,62,55-65
Sexy Beast,2002,Best Supporting Actor,nominee,Ben Kingsley,58,55-65
Training Day,2002,Best Supporting Actor,nominee,Ethan Hawke,31,25-35
A Beautiful Mind,2002,Best Supporting Actress,winner,Jennifer Connelly,31,25-35
Gosford Park,2002,Best Supporting Actress,nominee,Maggie Smith,67,> 65
Gosford Park,2002,Best Supporting Actress,nominee,Helen Mirren,56,55-65
In the Bedroom,2002,Best Supporting Actress,nominee,Marisa Tomei,37,35-45
Iris,2002,Best Supporting Actress,nominee,Kate Winslet,26,25-35
The Pianist,2003,Best Actor,winner,Adrien Brody,29,25-35
The Quiet American,2003,Best Actor,nominee,Michael Caine,70,> 65
About Schmidt,2003,Best Actor,nominee,Jack Nicholson,65,55-65
Gangs of New York,2003,Best Actor,nominee,Daniel Day-Lewis,45,45-55
Adaptation,2003,Best Actor,nominee,Nicolas Cage,39,35-45
The Hours,2003,Best Actress,winner,Nicole Kidman,35,35-45
Far from Heaven,2003,Best Actress,nominee,Julianne Moore,42,35-45
Unfaithful,2003,Best Actress,nominee,Diane Lane,38,35-45
Frida,2003,Best Actress,nominee,Salma Hayek,36,35-45
Chicago,2003,Best Actress,nominee,Ren_e Zellweger,33,25-35
Adaptation,2003,Best Supporting Actor,winner,Chris Cooper,51,45-55
Road to Perdition,2003,Best Supporting Actor,nominee,Paul Newman,78,> 65
Catch Me If You Can,2003,Best Supporting Actor,nominee,Christopher Walken,60,55-65
The Hours,2003,Best Supporting Actor,nominee,Ed Harris,52,45-55
Chicago,2003,Best Supporting Actor,nominee,John C. Reilly,37,35-45
Chicago,2003,Best Supporting Actress,winner,Catherine Zeta-Jones,33,25-35
About Schmidt,2003,Best Supporting Actress,nominee,Kathy Bates,54,45-55
Adaptation,2003,Best Supporting Actress,nominee,Meryl Streep,53,45-55
The Hours,2003,Best Supporting Actress,nominee,Julianne Moore,42,35-45
Chicago,2003,Best Supporting Actress,nominee,Queen Latifah,33,25-35
Mystic River,2004,Best Actor,winner,Sean Penn,43,35-45
House of Sand and Fog,2004,Best Actor,nominee,Ben Kingsley,60,55-65
Lost in Translation,2004,Best Actor,nominee,Bill Murray,53,45-55
Pirates of the Caribbean: The Curse of the Black Pearl,2004,Best Actor,nominee,Johnny Depp,40,35-45
Cold Mountain,2004,Best Actor,nominee,Jude Law,31,25-35
Monster,2004,Best Actress,winner,Charlize Theron,28,25-35
Something's Gotta Give,2004,Best Actress,nominee,Diane Keaton,58,55-65
21 Grams,2004,Best Actress,nominee,Naomi Watts,35,35-45
In America,2004,Best Actress,nominee,Samantha Morton,26,25-35
Whale Rider,2004,Best Actress,nominee,Keisha Castle-Hughes,13,< 25
Mystic River,2004,Best Supporting Actor,winner,Tim Robbins,45,45-55
The Cooler,2004,Best Supporting Actor,nominee,Alec Baldwin,45,45-55
The Last Samurai,2004,Best Supporting Actor,nominee,Ken Watanabe,44,35-45
In America,2004,Best Supporting Actor,nominee,Djimon Hounsou,39,35-45
21 Grams,2004,Best Supporting Actor,nominee,Benicio Del Toro,37,35-45
Cold Mountain,2004,Best Supporting Actress,winner,Ren_e Zellweger,34,25-35
House of Sand and Fog,2004,Best Supporting Actress,nominee,Shohreh Aghdashloo,51,45-55
Thirteen,2004,Best Supporting Actress,nominee,Holly Hunter,45,45-55
Mystic River,2004,Best Supporting Actress,nominee,Marcia Gay Harden,44,35-45
Pieces of April,2004,Best Supporting Actress,nominee,Patricia Clarkson,44,35-45
Ray,2005,Best Actor,winner,Jamie Foxx,37,35-45
Million Dollar Baby,2005,Best Actor,nominee,Clint Eastwood,74,> 65
Finding Neverland,2005,Best Actor,nominee,Johnny Depp,41,35-45
Hotel Rwanda,2005,Best Actor,nominee,Don Cheadle,40,35-45
The Aviator,2005,Best Actor,nominee,Leonardo DiCaprio,30,25-35
Million Dollar Baby,2005,Best Actress,winner,Hilary Swank,30,25-35
Vera Drake,2005,Best Actress,nominee,Imelda Staunton,49,45-55
Being Julia,2005,Best Actress,nominee,Annette Bening,46,45-55
Eternal Sunshine of the Spotless Mind,2005,Best Actress,nominee,Kate Winslet,29,25-35
Maria Full of Grace,2005,Best Actress,nominee,Catalina Sandino Moreno,23,< 25
Million Dollar Baby,2005,Best Supporting Actor,winner,Morgan Freeman,67,> 65
The Aviator,2005,Best Supporting Actor,nominee,Alan Alda,69,> 65
Sideways,2005,Best Supporting Actor,nominee,Thomas Haden Church,44,35-45
Closer,2005,Best Supporting Actor,nominee,Clive Owen,40,35-45
Collateral,2005,Best Supporting Actor,nominee,Jamie Foxx,37,35-45
The Aviator,2005,Best Supporting Actress,winner,Cate Blanchett,35,35-45
Sideways,2005,Best Supporting Actress,nominee,Virginia Madsen,43,35-45
Kinsey,2005,Best Supporting Actress,nominee,Laura Linney,41,35-45
Hotel Rwanda,2005,Best Supporting Actress,nominee,Sophie Okonedo,36,35-45
Closer,2005,Best Supporting Actress,nominee,Natalie Portman,23,< 25
Capote,2006,Best Actor,winner,Philip Seymour Hoffman,38,35-45
"Good Night, and Good Luck.",2006,Best Actor,nominee,David Strathairn,57,55-65
Hustle & Flow,2006,Best Actor,nominee,Terrence Howard,37,35-45
Walk the Line,2006,Best Actor,nominee,Joaquin Phoenix,31,25-35
Brokeback Mountain,2006,Best Actor,nominee,Heath Ledger,26,25-35
Walk the Line,2006,Best Actress,winner,Reese Witherspoon,29,25-35
Mrs. Henderson Presents,2006,Best Actress,nominee,Judi Dench,71,> 65
Transamerica,2006,Best Actress,nominee,Felicity Huffman,43,35-45
North Country,2006,Best Actress,nominee,Charlize Theron,30,25-35
Pride & Prejudice,2006,Best Actress,nominee,Keira Knightley,20,< 25
Syriana,2006,Best Supporting Actor,winner,George Clooney,44,35-45
A History of Violence,2006,Best Supporting Actor,nominee,William Hurt,55,55-65
Crash,2006,Best Supporting Actor,nominee,Matt Dillon,42,35-45
Cinderella Man,2006,Best Supporting Actor,nominee,Paul Giamatti,38,35-45
Brokeback Mountain,2006,Best Supporting Actor,nominee,Jake Gyllenhaal,25,25-35
The Constant Gardener,2006,Best Supporting Actress,winner,Rachel Weisz,36,35-45
North Country,2006,Best Supporting Actress,nominee,Frances McDormand,48,45-55
Capote,2006,Best Supporting Actress,nominee,Catherine Keener,46,45-55
Junebug,2006,Best Supporting Actress,nominee,Amy Adams,31,25-35
Brokeback Mountain,2006,Best Supporting Actress,nominee,Michelle Williams,25,25-35
The Last King of Scotland,2007,Best Actor,winner,Forest Whitaker,45,45-55
Venus,2007,Best Actor,nominee,Peter OToole,74,> 65
The Pursuit of Happyness,2007,Best Actor,nominee,Will Smith,38,35-45
Blood Diamond,2007,Best Actor,nominee,Leonardo DiCaprio,32,25-35
Half Nelson,2007,Best Actor,nominee,Ryan Gosling,26,25-35
The Queen,2007,Best Actress,winner,Helen Mirren,61,55-65
Notes on a Scandal,2007,Best Actress,nominee,Judi Dench,72,> 65
The Devil Wears Prada,2007,Best Actress,nominee,Meryl Streep,57,55-65
Volver,2007,Best Actress,nominee,Pen_lope Cruz,32,25-35
Little Children,2007,Best Actress,nominee,Kate Winslet,31,25-35
Little Miss Sunshine,2007,Best Supporting Actor,winner,Alan Arkin,72,> 65
Dreamgirls,2007,Best Supporting Actor,nominee,Eddie Murphy,45,45-55
Little Children,2007,Best Supporting Actor,nominee,Jackie Earle Haley,45,45-55
Blood Diamond,2007,Best Supporting Actor,nominee,Djimon Hounsou,42,35-45
The Departed,2007,Best Supporting Actor,nominee,Mark Wahlberg,35,35-45
Dreamgirls,2007,Best Supporting Actress,winner,Jennifer Hudson,25,25-35
Babel,2007,Best Supporting Actress,nominee,Adriana Barraza,51,45-55
